model_name,price,manufacturing_year,engine_capacity,spare_key,transmission,km_driven,ownership,fuel_type,imperfections,repainted_parts
Hyundai i20,330000,2012,1197,Yes,Manual,99813,2,PETROL,8,2
Tata Tiago,420000,2018,1197,Yes,Manual,30246,1,DIESEL,8,2
Hyundai Grand i10,460000,2014,1197,Yes,Manual,38783,1,PETROL,8,2
Skoda Rapid,590000,2018,1197,Yes,Manual,94375,2,PETROL,8,2
Maruti Alto,422000,2021,1197,Yes,Manual,34832,1,CNG,8,2
Hyundai Eon,320000,2018,1197,Yes,Manual,90496,2,PETROL,8,2
Maruti Celerio,482000,2017,1197,Yes,Manual,36810,1,PETROL,8,2
Maruti Swift Dzire,464000,2014,1197,Yes,Manual,49387,2,PETROL,8,2
Maruti New Wagon-R,545000,2019,1197,Yes,Manual,40767,1,CNG,8,2
Maruti IGNIS,676000,2021,1197,Yes,Manual,42950,1,PETROL,8,2
Nissan Micra Active,485000,2018,1197,Yes,Manual,47009,1,PETROL,8,2
Hyundai i10,335000,2014,1197,Yes,Manual,60541,2,PETROL,8,2
Renault Kwid,401000,2018,1197,Yes,Manual,61975,1,PETROL,8,2
Tata NEXON,773000,2018,1197,Yes,Manual,72855,1,DIESEL,8,2
Hyundai Elite i20,587000,2017,1197,Yes,Manual,17923,1,PETROL,8,2
Datsun Redi Go,323000,2019,1197,Yes,Manual,37238,1,PETROL,8,2
Tata Tiago,564000,2021,1197,Yes,Manual,20755,1,PETROL,8,2
Hyundai Verna,593000,2019,1197,Yes,Manual,56376,1,PETROL,8,2
Maruti Baleno,481300,2017,1197,Yes,Manual,99536,1,PETROL,8,2
Volkswagen Polo,661000,2017,1197,Yes,Manual,54327,1,PETROL,8,2
2016 Maruti Swift VXI O,433000,2016,1197,No,Manual,35970,1,PETROL,23,4
Hyundai Grand i10,430000,2019,1197,Yes,Manual,46210,2,PETROL,8,2
2016 Maruti Baleno ZETA CVT PETROL 1.2,551000,2016,1197,Yes,Automatic,60938,2,PETROL,19,10
2022 Maruti XL6 ZETA MT,1103000,2022,1462,Yes,Manual,16283,1,PETROL,0,0
2015 Maruti Swift LXI (O),335000,2015,1197,No,Manual,71287,2,PETROL,29,7
Datsun Go,195000,2014,1197,Yes,Manual,66599,1,PETROL,8,2
2015 Maruti Swift VXI,546000,2015,1197,No,Manual,34673,1,PETROL,0,0
Honda WR-V,802000,2019,1197,Yes,Manual,70889,1,PETROL,8,2
Maruti Swift,488000,2016,1197,Yes,Manual,18055,1,PETROL,8,2
Maruti Swift Dzire,836000,2015,1197,Yes,Manual,53282,2,DIESEL,8,2
Maruti S PRESSO,487200,2021,1197,Yes,Manual,24279,1,CNG,8,2
2019 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,643000,2019,1462,No,Automatic,54408,2,PETROL,13,4
Maruti New Wagon-R,506000,2020,1197,Yes,Manual,21533,1,PETROL,8,2
Hyundai Verna,1191000,2013,1197,Yes,Manual,20103,1,PETROL,8,2
Maruti Swift,649000,2015,1197,Yes,Manual,112871,1,DIESEL,8,2
Hyundai Grand i10,497000,2017,1197,Yes,Manual,31604,1,PETROL,8,2
KIA SONET,1516000,2021,1197,Yes,Manual,25263,1,DIESEL,8,2
Hyundai Creta,1150000,2022,1197,Yes,Manual,2747,1,PETROL,8,2
2021 Maruti Alto LXI,366000,2021,796,No,Manual,8830,1,PETROL,10,4
Toyota Corolla Altis,379000,2011,1197,Yes,Manual,66466,2,PETROL,8,2
Hyundai i20,388000,2014,1197,Yes,Manual,84953,2,PETROL,8,2
2022 Maruti New Wagon-R ZXI 1.2 AMT,643000,2022,998,Yes,Automatic,27743,1,PETROL,0,0
Maruti Baleno,649000,2020,1197,Yes,Manual,39723,1,PETROL,8,2
Honda City,718000,2016,1197,Yes,Manual,54056,1,PETROL,8,2
Renault Kwid,281000,2016,1197,Yes,Manual,43040,1,PETROL,8,2
Hyundai AURA,687000,2020,1197,Yes,Manual,51452,1,DIESEL,8,2
Hyundai Grand i10,526000,2014,1197,Yes,Manual,16608,1,PETROL,8,2
2019 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,802000,2019,1462,Yes,Automatic,31431,1,PETROL,17,3
Honda Amaze,526000,2017,1197,Yes,Manual,55427,1,PETROL,8,2
Mahindra Thar,1711000,2021,1197,Yes,Manual,10290,2,PETROL,8,2
2014 Maruti Celerio VXI AMT,398000,2014,998,Yes,Automatic,10558,1,PETROL,2,4
Hyundai Elite i20,559200,2017,1197,Yes,Manual,17698,1,PETROL,8,2
Maruti Wagon R 1.0,428000,2018,1197,Yes,Manual,26380,1,CNG,8,2
Renault Kwid,406000,2018,1197,Yes,Manual,71789,1,PETROL,8,2
Toyota Innova Crysta,2210000,2021,1197,Yes,Manual,17721,2,DIESEL,8,2
Maruti Wagon R 1.0,370000,2015,1197,Yes,Manual,72393,2,PETROL,8,2
Ford Ecosport,737000,2016,1197,Yes,Manual,39441,2,PETROL,8,2
Hyundai Creta,926000,2016,1197,Yes,Manual,54808,1,PETROL,8,2
Hyundai Elite i20,595000,2016,1197,Yes,Manual,30539,1,PETROL,8,2
Hyundai i20,487000,2014,1197,Yes,Manual,64558,2,PETROL,8,2
Honda Brio,369000,2012,1197,Yes,Manual,40439,1,PETROL,8,2
Maruti Alto,393000,2019,1197,Yes,Manual,41958,1,PETROL,8,2
Maruti Wagon R 1.0,366000,2014,1197,Yes,Manual,38529,1,CNG,8,2
Mahindra XUV500,1196000,2018,1197,Yes,Manual,105759,2,DIESEL,8,2
Tata NEXON,856000,2018,1197,Yes,Manual,84821,1,PETROL,8,2
Maruti Vitara Brezza,811000,2018,1197,Yes,Manual,44719,1,DIESEL,8,2
Hyundai Santro Xing,212000,2013,1197,Yes,Manual,81618,1,PETROL,8,2
Maruti Swift,405000,2016,1197,Yes,Manual,61051,1,DIESEL,8,2
Maruti Swift,554000,2015,1197,Yes,Manual,45513,1,PETROL,8,2
Mahindra Bolero,762000,2020,1197,Yes,Manual,47559,2,DIESEL,8,2
Maruti Swift,549000,2018,1197,Yes,Manual,43348,1,PETROL,8,2
2020 Maruti S PRESSO VXI PLUS AMT,407000,2020,998,Yes,Automatic,66068,2,PETROL,6,1
2019 Maruti Baleno ALPHA PETROL 1.2,698000,2019,1197,Yes,Manual,24499,1,PETROL,10,2
2012 Maruti Swift Dzire VDI,450000,2012,1248,Yes,Manual,100146,1,DIESEL,31,9
2016 Maruti Ciaz ZXI+,678000,2016,1373,No,Manual,68828,1,PETROL,9,0
Volkswagen Polo,767000,2019,1197,Yes,Manual,47613,1,PETROL,8,2
2017 Maruti Ciaz ZXI+ AT,639000,2017,1373,No,Automatic,73371,1,PETROL,8,2
Hyundai GRAND I10 NIOS,614000,2022,1197,Yes,Manual,15122,1,PETROL,8,2
Toyota Etios,670000,2013,1197,Yes,Manual,63020,1,DIESEL,8,2
Honda City,917000,2015,1197,Yes,Manual,33488,1,PETROL,8,2
2023 Maruti Dzire ZXI AMT,829000,2023,1197,Yes,Automatic,10289,1,PETROL,1,0
Maruti S Cross,1021000,2020,1197,Yes,Manual,5574,1,PETROL,8,2
Renault Kwid,466000,2022,1197,Yes,Manual,19410,1,PETROL,8,2
Hyundai Grand i10,427000,2014,1197,Yes,Manual,46473,1,PETROL,8,2
2019 Maruti Celerio ZXI,460000,2019,998,No,Manual,69332,1,PETROL,15,2
Tata Tiago,448000,2020,1197,Yes,Manual,30525,1,PETROL,8,2
2015 Maruti Alto K10 VXI,243000,2015,998,No,Manual,51243,2,PETROL,6,1
Hyundai Grand i10,447000,2015,1197,Yes,Manual,101356,2,PETROL,8,2
Hyundai i10,277000,2011,1197,Yes,Manual,41446,2,PETROL,8,2
Renault TRIBER,794000,2022,1197,Yes,Manual,4196,1,PETROL,8,2
2018 Maruti Alto K10 VXI,308000,2018,998,Yes,Manual,52966,1,PETROL,8,3
Maruti Wagon R 1.0,327000,2014,1197,Yes,Manual,53706,1,PETROL,8,2
